#time	 a1	 c1	 intFac1	 a2	 c2	 intFac2
17.00000|0	 0.001535|	 0.021587|	 1026.971333|	0.001539|	 0.012780|	 1048.733696|	0.001531|	 0.100909|	 1023.756739
17.50000|0	 0.001714|	 0.017262|	 1029.358777|	0.231065|	 0.032437|	 1037.200985|	0.001553|	 0.059302|	 1025.831811
18.00000|0	 0.001539|	 0.012848|	 1012.740630|	0.452921|	 0.207783|	 1021.432229|	0.001530|	 0.035206|	 1026.710905
18.50000|0	 0.001541|	 0.009309|	 1028.839491|	0.001519|	 0.160719|	 1045.387483|	0.001535|	 0.021217|	 1014.772083
19.00000|0	 0.001543|	 0.006740|	 1021.361214|	0.001531|	 0.099440|	 1049.292600|	0.001539|	 0.013073|	 1039.612713
19.50000|0	 0.467123|	 0.073862|	 1052.517998|	0.001549|	 0.061756|	 1004.611261|	0.001958|	 0.008430|	 1036.848295
20.00000|0	 0.245180|	 0.224767|	 1058.374287|	0.001529|	 0.038573|	 1018.865711|	0.001543|	 0.005613|	 1020.075888
20.50000|0	 0.001521|	 0.144261|	 1040.451890|	0.001534|	 0.024314|	 1020.971009|	0.001544|	 0.003954|	 1012.860534
21.00000|0	 0.001535|	 0.089404|	 1035.461081|	0.001541|	 0.015546|	 1025.652806|	0.001556|	 0.002979|	 1012.189087
21.50000|0	 0.001557|	 0.055640|	 1036.900453|	0.001916|	 0.010262|	 1049.119905|	0.296082|	 0.032359|	 1015.392733
22.00000|0	 0.001530|	 0.034849|	 1030.583624|	0.001542|	 0.006937|	 1053.267807|	0.458638|	 0.229663|	 1037.941841
22.50000|0	 0.001535|	 0.022047|	 1017.582520|	0.001544|	 0.004865|	 1040.920143|	0.001518|	 0.172528|	 1020.152212
23.00000|0	 0.001538|	 0.014165|	 1031.504655|	0.001545|	 0.003601|	 1027.653304|	0.001529|	 0.106098|	 1053.228226
23.50000|0	 0.001975|	 0.009403|	 1030.036608|	0.013442|	 0.003958|	 1024.486901|	0.001548|	 0.065477|	 1042.620055
24.00000|0	 0.209342|	 0.027648|	 1022.702945|	0.554736|	 0.088384|	 1023.149767|	0.001532|	 0.040643|	 1009.354402
24.50000|0	 0.001523|	 0.066597|	 1029.754383|	0.045224|	 0.210336|	 1032.245883|	0.001534|	 0.025443|	 1025.065710
25.00000|0	 0.001528|	 0.042653|	 1021.523234|	0.001524|	 0.126211|	 1012.104210|	0.001538|	 0.016150|	 1032.726161
